METEOR-all	METEOR-exact	METEOR-stem	METEOR-synonym	METEOR-paraphrase
0.2394334145475316	0.2394334145475316	0.0		0.0
0.1888636842420333	0.13008130081300814	0.0		0.15533972748693511
0.194765399612268	0.11552346570397112	0.0		0.0
0.14177215189873418	0.14177215189873418	0.0		0.0
0.09195402298850575	0.09195402298850575	0.0		0.0
0.18823771068345282	0.12933025404157047	0.0		0.05542725173210161
0.1212121212121212	0.1212121212121212	0.0		0.0
0.14164776318152497	0.025806451612903226	0.0		0.19785133929918805
0.07339449541284403	0.07339449541284403	0.0		0.0
0.0759322033898305	0.027118644067796613	0.0		0.17828602594911422
0.09638554216867469	0.09638554216867469	0.0		0.0
0.24954086869971667	0.24954086869971667	0.0		0.0664819944598338
0.01673640167364017	0.01673640167364017	0.0		0.0
0.09917355371900827	0.09917355371900827	0.0		0.0
0.1111111111111111	0.1111111111111111	0.0		0.0
0.037825059101654845	0.037825059101654845	0.0		0.0
0.05581395348837209	0.05581395348837209	0.0		0.0
0.23382431008085866	0.23382431008085866	0.04195804195804196		0.04195804195804196
0.08267477203647416	0.024316109422492405	0.0		0.0
0.1411764705882353	0.1411764705882353	0.0		0.1411764705882353
0.17774743367236243	0.1213954492149357	0.0		0.0933128466028122
0.018223234624145785	0.018223234624145785	0.0		0.0
0.09777460032866364	0.051172707889125806	0.0		0.051172707889125806
0.30693627838800625	0.30693627838800625	0.0		0.0
0.11252524429265617	0.11252524429265617	0.0		0.0
0.09933191748476497	0.024464831804281342	0.0		0.07339449541284403
0.12482508371890565	0.12482508371890565	0.0		0.0
0.06911447084233262	0.06911447084233262	0.0		0.0
0.11594202898550726	0.11594202898550726	0.0		0.0
0.01322314049586777	0.01322314049586777	0.039669421487603315		0.0
0.012558869701726844	0.012558869701726844	0.0		0.0
0.07933884297520663	0.0	0.09917355371900827		0.0
0.3174768296220044	0.3174768296220044	0.0		0.0
0.09621993127147765	0.09621993127147765	0.04123711340206186		0.05897495090573774
0.06490100529457095	0.06490100529457095	0.0		0.0
0.02846975088967972	0.02846975088967972	0.0		0.0
0.11357180775355995	0.02797202797202797	0.08391608391608392		0.0
